RQ005;2;3;4;5;6;7;8;9;10;15;30
29.01.1999;2.987;3.035;3.208;3.285;;3.681;;;3.885;;4.169
26.02.1999;3.23;3.366;3.559;3.694;;4.041;;;4.227;;4.482
31.03.1999;2.99;3.166;3.369;3.511;;3.912;;;4.233;;4.474
30.04.1999;2.796;2.971;3.182;3.265;;3.735;;;4.144;;4.545
31.05.1999;2.878;3.111;3.373;3.494;;3.956;;;4.447;;4.757
30.06.1999;3.208;3.572;3.928;4.075;;4.535;;;4.837;;4.656
30.07.1999;3.444;3.893;4.254;4.444;;4.785;;;5.086;;4.694
31.08.1999;3.473;3.888;4.317;4.475;;4.912;;;5.15;;4.53
30.09.1999;3.539;4.088;4.458;4.666;;5.135;;;5.315;;4.804
29.10.1999;4.066;4.394;4.639;4.894;;5.217;;;5.42;;4.463
30.11.1999;4.081;4.385;4.57;4.844;;5.141;;;5.357;;4.266
31.12.1999;4.438;4.805;5.055;5.218;;5.515;;;5.579;;4.599
31.01.2000;4.59;4.979;5.187;5.415;;5.633;;;5.782;;4.707
29.02.2000;4.638;4.932;5.167;5.389;;5.591;;;5.765;;4.542
31.03.2000;4.596;4.823;5.038;5.159;;5.404;;;5.507;;4.508
28.04.2000;4.763;5.006;5.16;5.299;;5.487;;;5.581;;4.432
31.05.2000;5.13;5.296;5.381;5.408;;5.527;;;5.572;;4.403
30.06.2000;5.114;5.27;5.392;5.421;;5.555;;;5.59;;4.497
31.07.2000;5.251;5.352;5.475;5.463;;5.53;;;5.557;;4.55
31.08.2000;5.392;5.475;5.526;5.575;;5.664;;;5.653;;4.66
29.09.2000;5.272;5.333;5.386;5.412;5.526;5.535;5.555;;5.608;;4.668
31.10.2000;5.31;5.349;5.385;5.414;5.496;5.538;5.545;;5.597;;4.582
30.11.2000;5.031;5.064;5.122;5.149;5.229;5.287;5.314;;5.37;;4.215
29.12.2000;4.63;4.722;4.784;4.842;4.979;5.067;5.125;;5.263;;4.229
31.01.2001;4.528;4.643;4.732;4.823;4.898;5.01;5.116;;5.182;;4.32
28.02.2001;4.532;4.631;4.73;4.817;4.888;4.994;5.087;;5.168;;4.339
30.03.2001;4.321;4.445;4.549;4.688;4.768;4.92;5.026;;5.134;;4.553
30.04.2001;4.76;4.868;4.972;5.031;5.165;5.229;5.325;;5.429;;4.846
31.05.2001;4.515;4.696;4.901;4.971;5.18;5.291;5.409;;5.547;;4.969
29.06.2001;4.399;4.555;4.777;4.875;5.072;5.173;5.324;;5.498;;4.983
31.07.2001;4.231;4.372;4.566;4.673;4.857;4.949;5.096;;5.271;;4.719
31.08.2001;3.981;4.131;4.353;4.458;4.676;4.801;4.947;;5.148;;4.539
28.09.2001;3.546;3.787;4.109;4.271;4.557;4.692;4.883;;5.153;;4.747
31.10.2001;3.194;3.396;3.717;3.877;4.179;4.287;4.477;;4.747;;4.314
30.11.2001;3.478;3.748;3.975;4.118;4.411;4.496;4.662;;4.916;;4.411
31.12.2001;3.666;4.016;4.327;4.504;4.77;4.886;5.03;;5.271;;4.7
31.01.2002;4.08;4.443;4.593;4.74;4.888;5.009;5.135;;5.186;;4.56
28.02.2002;4.043;4.415;4.586;4.73;4.882;5.023;5.171;;5.23;;4.712
29.03.2002;4.421;4.799;4.94;5.093;5.21;5.325;5.44;;5.51;;5.021
30.04.2002;4.147;4.539;4.704;4.869;5.012;5.163;5.298;;5.364;;4.975
31.05.2002;4.296;4.645;4.779;4.933;5.049;5.189;5.326;5.368;5.394;;5.074
28.06.2002;3.955;4.322;4.465;4.635;4.776;4.931;5.094;5.154;5.188;;4.778
31.07.2002;3.599;3.982;4.135;4.363;4.527;4.699;4.888;4.955;4.997;;4.739
30.08.2002;3.445;3.776;3.906;4.131;4.293;4.476;4.673;4.757;4.797;;4.43
30.09.2002;3.045;3.366;3.485;3.714;3.902;4.111;4.348;4.456;4.577;;4.302
31.10.2002;3.03;3.426;3.57;3.97;4.058;4.267;4.504;4.617;4.759;;4.464
29.11.2002;3.159;3.421;3.555;3.939;4.031;4.229;4.468;4.556;4.701;;4.62
31.12.2002;2.738;3.003;3.123;3.523;3.641;3.864;4.137;4.246;4.427;;4.446
31.01.2003;2.62;2.858;2.973;3.389;3.494;3.714;3.981;4.103;4.277;;4.35
28.02.2003;2.403;2.621;2.908;3.145;3.454;3.557;3.751;3.963;4.081;;4.411
31.03.2003;2.489;2.746;3.057;3.285;3.585;3.69;3.881;4.086;4.209;;4.515
30.04.2003;2.472;2.76;3.047;3.299;3.592;3.702;3.885;4.101;4.23;;4.599
30.05.2003;2.165;2.385;2.657;2.892;3.179;3.289;3.478;3.711;3.846;;4.365
30.06.2003;2.119;2.386;2.673;2.947;3.237;3.346;3.543;3.763;3.899;;4.549
31.07.2003;2.371;2.763;3.103;3.399;3.678;3.787;3.963;4.159;4.338;;4.798
29.08.2003;2.659;2.895;3.215;3.477;3.73;3.828;3.992;4.171;4.331;;4.696
30.09.2003;2.287;2.495;2.835;3.121;3.402;3.52;3.726;3.944;4.141;;4.646
31.10.2003;2.724;3.152;3.463;3.688;3.919;4.098;4.21;4.282;4.45;;4.846
28.11.2003;2.847;3.224;3.602;3.825;4.051;4.23;4.345;4.417;4.572;;4.871
31.12.2003;2.559;2.97;3.335;3.589;3.836;4.037;4.164;4.242;4.423;;4.685
30.01.2004;2.632;2.981;3.319;3.495;3.758;3.953;4.177;4.311;4.375;;4.72
27.02.2004;2.324;2.664;3.006;3.201;3.482;3.694;3.949;4.109;4.282;;4.695
31.03.2004;2.185;2.515;2.846;3.05;3.335;3.558;3.822;3.986;4.179;;4.635
30.04.2004;2.478;2.832;3.164;3.363;3.636;3.84;4.078;4.226;4.406;;4.825
31.05.2004;2.771;3.232;3.523;3.691;4.018;4.155;4.245;4.458;4.564;;4.889
30.06.2004;2.791;3.25;3.531;3.685;3.98;4.113;4.198;4.402;4.504;;4.82
30.07.2004;2.688;3.133;3.409;3.562;3.864;4.002;4.088;4.296;4.401;;4.748
31.08.2004;2.482;2.903;3.165;3.32;3.639;3.779;3.871;4.094;4.204;;4.624
30.09.2004;2.557;2.93;3.166;3.312;3.609;3.748;3.836;4.058;4.163;;4.598
29.10.2004;2.423;2.758;2.991;3.143;3.453;3.593;3.692;3.921;4.035;;4.541
30.11.2004;2.347;2.65;2.864;3.01;3.296;3.442;3.533;3.765;3.88;;4.432
31.12.2004;2.415;2.711;2.885;3.009;3.251;3.378;3.468;3.663;3.832;4.057;4.405
31.01.2005;2.326;2.609;2.775;2.891;3.117;3.234;3.312;3.502;3.665;3.872;4.493
28.02.2005;2.382;2.709;2.91;3.035;3.279;3.393;3.468;3.663;3.828;4.042;4.507
31.03.2005;2.512;2.771;2.959;3.072;3.311;3.387;3.524;3.706;3.758;4.046;4.562
29.04.2005;2.271;2.516;2.698;2.839;3.079;3.165;3.314;3.51;3.57;3.894;4.439
31.05.2005;2.158;2.458;2.566;2.814;2.934;3.016;3.236;3.371;3.488;3.767;4.326
30.06.2005;2.037;2.295;2.407;2.623;2.784;2.868;3.09;3.23;3.35;3.652;4.203
29.07.2005;2.238;2.475;2.572;2.762;2.915;2.983;3.193;3.327;3.451;3.739;4.314
31.08.2005;2.193;2.403;2.487;2.661;2.797;2.869;3.056;3.184;3.308;3.589;4.195
30.09.2005;2.439;2.552;2.637;2.789;2.901;2.959;3.117;3.231;3.349;3.606;4.242
31.10.2005;2.674;2.795;2.896;3.05;3.163;3.212;3.374;3.483;3.595;3.833;4.242
30.11.2005;2.832;2.929;3.022;3.161;3.252;3.293;3.44;3.538;3.634;3.868;4.113
30.12.2005;2.918;2.98;3.035;3.124;3.203;3.232;3.345;3.428;3.509;3.718;3.977
31.01.2006;3.001;3.164;3.244;3.287;3.407;3.479;3.598;3.646;3.692;3.951;3.844
28.02.2006;3.083;3.228;3.298;3.341;3.446;3.517;3.619;3.662;3.705;3.958;3.864
31.03.2006;3.337;3.51;3.58;3.63;3.738;3.813;3.916;3.962;4.068;4.249;4.1
28.04.2006;3.494;3.641;3.746;3.801;3.938;4.011;4.11;4.159;4.273;4.457;4.253
31.05.2006;3.471;3.599;3.762;3.847;3.911;3.99;4.112;4.17;4.301;4.529;4.222
30.06.2006;3.623;3.745;3.908;3.982;4.022;4.105;4.212;4.255;4.377;4.573;4.345
31.07.2006;3.577;3.707;3.776;3.834;3.873;3.989;4.057;4.145;4.218;4.433;4.22
31.08.2006;3.578;3.644;3.682;3.72;3.753;3.848;3.905;3.982;4.047;4.25;4.124
29.09.2006;3.656;3.694;3.707;3.737;3.768;3.827;3.868;3.937;3.993;4.159;4.1
31.10.2006;3.741;3.774;3.779;3.799;3.823;3.864;3.897;3.949;3.999;4.122;4
30.11.2006;3.72;3.72;3.729;3.756;3.771;3.811;3.851;3.897;3.94;4.075;4.047
29.12.2006;3.927;3.976;3.995;4.024;4.04;4.073;4.107;4.154;4.202;4.323;4.208
31.01.2007;4.011;4.051;4.079;4.115;4.142;4.19;4.227;4.268;4.316;4.454;4.396
28.02.2007;3.943;3.961;3.983;3.999;4.035;4.069;4.116;4.165;4.195;4.321;4.254
30.03.2007;4.076;4.09;4.112;4.124;4.139;4.163;4.211;4.261;4.289;4.444;4.428
30.04.2007;4.185;4.195;4.209;4.219;4.243;4.266;4.308;4.354;4.38;4.523;4.514
31.05.2007;4.462;4.473;4.49;4.506;4.512;4.53;4.555;4.592;4.618;4.746;4.637
29.06.2007;4.542;4.585;4.624;4.643;4.67;4.705;4.739;4.781;4.803;4.949;4.832
31.07.2007;4.43;4.486;4.502;4.495;4.483;4.538;4.58;4.625;4.659;4.775;4.593
31.08.2007;4.185;4.24;4.294;4.295;4.31;4.371;4.438;4.481;4.53;4.72;4.5
28.09.2007;4.205;4.239;4.293;4.307;4.324;4.386;4.478;4.54;4.601;4.772;4.602
31.10.2007;4.226;4.246;4.282;4.282;4.288;4.332;4.402;4.463;4.527;4.702;4.529
30.11.2007;4.036;4.036;4.114;4.121;4.147;4.204;4.289;4.353;4.484;4.672;4.464
31.12.2007;4.154;4.223;4.274;4.282;4.289;4.345;4.447;4.531;4.652;4.782;4.303
31.01.2008;3.581;3.654;3.751;3.818;3.836;3.914;4.035;4.157;4.311;4.509;4.338
29.02.2008;3.38;3.495;3.639;3.707;3.725;3.836;3.988;4.139;4.328;4.58;4.389
31.03.2008;3.787;3.86;3.957;4.014;4.007;4.037;4.124;4.243;4.421;4.614;4.384
30.04.2008;4.056;4.131;4.194;4.193;4.195;4.229;4.318;4.413;4.577;4.724;4.501
30.05.2008;4.502;4.578;4.619;4.623;4.619;4.616;4.651;4.707;4.857;4.993;4.584
30.06.2008;4.93;5.065;5.074;5.061;5.045;5.031;5.089;5.089;5.171;5.285;4.681
31.07.2008;4.566;4.667;4.684;4.703;4.712;4.713;4.769;4.821;4.903;5.026;4.518
29.08.2008;4.437;4.535;4.548;4.574;4.551;4.617;4.659;4.706;4.819;4.908;4.385
30.09.2008;4.047;4.274;4.358;4.485;4.499;4.598;4.671;4.75;4.896;5.011;4.501
31.10.2008;3.56;3.929;4.067;4.285;4.384;4.568;4.779;4.94;5.148;5.246;4.516
28.11.2008;3.312;3.622;3.892;3.863;3.968;4.062;4.227;4.289;4.462;4.787;4.119
31.12.2008;3.114;3.573;3.678;3.632;3.768;3.865;4.069;4.296;4.382;4.826;3.701
30.01.2009;2.412;3.005;3.354;3.534;3.725;3.932;4.14;4.377;4.714;5.067;4.4
27.02.2009;2.197;2.907;3.349;3.64;3.747;3.755;4.113;4.355;4.681;5.15;4.341
31.03.2009;1.953;2.594;3.066;3.285;3.411;3.418;3.766;4.007;4.394;4.839;4.166
30.04.2009;1.821;2.455;2.927;3.168;3.321;3.353;3.68;3.936;4.277;4.678;4.351
29.05.2009;1.671;2.457;3.072;3.36;3.626;3.889;4.016;4.234;4.483;4.963;4.557
30.06.2009;1.57;2.301;2.914;3.272;3.484;3.604;3.935;4.208;4.434;4.872;4.399
31.07.2009;1.621;2.241;2.653;2.932;3.209;3.402;3.667;3.924;4.16;4.582;4.507
31.08.2009;1.67;2.272;2.683;2.957;3.162;3.363;3.576;3.833;4.076;4.472;4.123
30.09.2009;1.511;2.024;2.513;2.841;3.103;3.321;3.573;3.788;4.015;4.404;4.091
30.10.2009;1.532;2.029;2.444;2.775;3.018;3.328;3.585;3.833;4.074;4.571;4.134
30.11.2009;1.551;1.997;2.383;2.711;2.978;3.323;3.524;3.774;4.017;4.494;4.092
31.12.2009;1.543;2.041;2.439;2.802;3.074;3.405;3.627;3.882;4.142;4.537;4.415
29.01.2010;1.898;2.319;2.844;3.045;3.108;3.459;3.671;3.893;4.115;4.599;4.389
26.02.2010;1.43;1.916;2.557;2.852;2.893;3.23;3.509;3.748;3.996;4.524;4.575
31.03.2010;1.348;1.771;2.398;2.701;2.97;3.201;3.517;3.751;3.981;4.411;4.527
30.04.2010;1.672;2.01;2.565;2.799;3.1;3.322;3.645;3.88;4.015;4.511;4.484
31.05.2010;1.992;2.231;2.765;2.976;3.223;3.555;3.82;3.998;4.144;4.621;4.283
30.06.2010;2.105;2.423;2.792;2.995;3.229;3.658;3.856;4.012;4.094;4.651;4.172
30.07.2010;1.752;2.098;2.436;2.753;2.96;3.314;3.606;3.794;3.954;4.474;4.288
31.08.2010;1.749;2.116;2.36;2.673;2.991;3.322;3.563;3.717;3.826;4.305;3.817
30.09.2010;1.915;2.281;2.571;2.828;3.13;3.39;3.657;3.807;3.879;4.451;3.904
29.10.2010;2.019;2.396;2.581;2.86;3.169;3.41;3.682;3.85;3.942;4.489;4.153
30.11.2010;2.982;3.301;3.476;3.75;4.016;4.224;4.424;4.552;4.667;5.071;4.223
31.12.2010;2.877;3.314;3.499;3.884;4.128;4.371;4.551;4.688;4.815;5.068;4.185
31.01.2011;2.581;3.184;3.436;3.833;4.026;4.269;4.463;4.613;4.723;5.111;4.452
28.02.2011;2.502;3.216;3.5;3.903;4.083;4.346;4.545;4.725;4.842;5.273;4.365
31.03.2011;2.504;3.157;3.471;3.886;4.076;4.336;4.518;4.673;4.822;5.306;4.359
29.04.2011;3.022;3.43;3.718;4.01;4.057;4.294;4.473;4.599;4.732;5.192;4.164
31.05.2011;3.005;3.47;3.733;4.004;4.161;4.381;4.463;4.585;4.781;5.111;4.11
30.06.2011;3.094;3.584;3.855;4.13;4.262;4.484;4.563;4.683;4.882;5.216;4.287
29.07.2011;4.318;4.872;5.061;5.264;5.423;5.579;5.635;5.688;5.868;6.139;4.016
31.08.2011;3.421;3.836;4.084;4.297;4.507;4.609;4.72;4.828;5.136;5.823;3.904
30.09.2011;4.251;4.627;4.746;5.227;5.236;5.394;5.472;5.458;5.537;6.266;3.553
31.10.2011;4.994;5.513;5.652;5.884;5.924;6.049;6.098;6.004;6.093;6.568;3.389
30.11.2011;6.933;7.365;7.453;7.535;7.602;7.519;7.383;7.109;7.021;7.307;3.14
30.12.2011;5.117;5.819;5.786;6.198;6.384;6.545;6.492;6.45;7.108;6.982;3.053
31.01.2012;3.523;4.177;4.274;4.752;5.09;5.419;5.531;5.609;5.954;6.22;3.015
29.02.2012;2.137;2.925;3.273;3.795;4.2;4.502;4.755;4.881;5.188;5.548;3.227
30.03.2012;2.919;3.411;3.81;4.325;4.422;4.596;4.728;4.868;5.116;5.472;3.362
30.04.2012;3.118;3.694;4.089;4.656;4.8;5.029;5.149;5.279;5.512;5.75;3.337
31.05.2012;4.433;4.938;5.158;5.53;5.569;5.744;5.75;5.726;5.895;6.141;2.949
29.06.2012;3.499;4.216;4.612;5.189;5.277;5.395;5.504;5.621;5.819;6.018;3.038
31.07.2012;4.019;4.786;5.209;5.514;5.544;5.753;5.831;5.93;6.083;6.296;2.886
31.08.2012;2.796;3.711;4.411;4.809;4.95;5.248;5.456;5.68;5.847;5.994;2.944
28.09.2012;2.353;2.986;3.585;3.997;4.202;4.409;4.652;4.841;5.092;5.432;3.068
31.10.2012;2.271;2.841;3.324;3.76;4.001;4.189;4.333;4.613;4.96;5.118;3.099
30.11.2012;1.954;2.415;2.878;3.394;3.574;3.78;3.951;4.194;4.498;4.716;3.027
31.12.2012;1.987;2.416;2.771;3.308;3.526;3.777;3.948;4.21;4.497;4.673;3.101
31.01.2013;1.624;2.267;2.587;3.104;3.274;3.514;3.736;3.946;4.311;4.491;3.321
28.02.2013;1.925;2.637;2.962;3.488;3.698;3.926;4.062;4.331;4.734;4.815;3.274
29.03.2013;1.919;2.651;2.97;3.529;3.753;3.959;4.072;4.38;4.763;4.768;3.113
30.04.2013;1.092;1.791;2.136;2.644;2.844;3.097;3.326;3.552;3.891;4.077;3.011
31.05.2013;1.445;2.09;2.75;3.057;3.249;3.51;3.617;3.932;4.157;4.48;3.265
28.06.2013;1.934;2.497;3.191;3.476;3.762;3.938;3.993;4.341;4.545;4.846;3.589
31.07.2013;1.56;2.299;2.939;3.259;3.503;3.741;3.797;4.185;4.406;4.761;3.55
30.08.2013;1.969;2.32;2.942;3.285;3.516;3.732;3.779;4.195;4.401;4.781;3.588
30.09.2013;1.888;2.264;2.93;3.254;3.602;3.779;4.06;4.414;4.431;4.838;3.535
31.10.2013;1.439;2.076;2.541;2.898;3.098;3.312;3.605;3.893;4.131;4.503;3.486
29.11.2013;1.184;1.74;2.248;2.62;2.869;3.137;3.511;3.785;4.057;4.441;3.596
31.12.2013;1.257;1.818;2.31;2.73;2.944;3.195;3.538;3.854;4.125;4.463;3.665
31.01.2014;0.927;1.464;1.965;2.296;2.537;2.844;3.207;3.513;3.768;4.168;3.502
28.02.2014;0.782;1.283;1.726;2.058;2.297;2.616;2.919;3.242;3.479;3.961;3.506
31.03.2014;0.836;1.066;1.564;1.941;2.249;2.631;2.885;3.153;3.292;3.779;3.511
30.04.2014;0.809;1.031;1.405;1.781;2.042;2.416;2.637;2.933;3.067;3.617;3.445
30.05.2014;0.759;1.096;1.34;1.682;1.935;2.342;2.527;2.845;2.963;3.501;3.391
30.06.2014;0.594;0.837;1.151;1.356;1.612;2.028;2.266;2.596;2.846;3.334;3.423
31.07.2014;0.476;0.741;1.017;1.237;1.466;1.876;2.122;2.462;2.695;3.23;3.29
29.08.2014;0.364;0.614;0.864;1.151;1.422;1.668;2.036;2.182;2.436;3.052;2.956
30.09.2014;0.362;0.551;0.785;1.023;1.3;1.564;1.942;2.078;2.333;2.972;3.059
31.10.2014;0.698;0.868;1.01;1.163;1.388;1.797;1.987;2.109;2.348;3.024;2.98
28.11.2014;0.487;0.67;0.837;0.956;1.156;1.509;1.673;1.782;2.034;2.739;2.671
31.12.2014;0.534;0.688;0.824;0.952;1.131;1.432;1.576;1.708;1.89;2.585;2.507
