RQ005;2;3;4;5;7;10;15;30
26.02.1999;3.344;3.453;3.559;3.733;4.012;4.383;4.736;
31.03.1999;3.149;3.248;3.448;3.61;4.149;4.378;4.753;
30.04.1999;3.063;3.195;3.351;3.52;3.933;4.163;4.591;
31.05.1999;3.47;3.63;3.762;3.95;4.353;4.618;5.011;
30.06.1999;3.939;4.177;4.38;4.517;4.875;5.049;5.422;
30.07.1999;4.332;4.566;4.767;4.923;5.219;5.337;5.671;
31.08.1999;4.429;4.727;4.993;5.124;5.427;5.517;5.82;
30.09.1999;4.563;4.932;5.201;5.322;5.656;5.742;6.017;
29.10.1999;4.568;4.984;5.234;5.349;5.64;5.745;5.974;
30.11.1999;4.534;4.897;5.117;5.235;5.54;5.644;5.886;
31.12.1999;5.066;5.298;5.403;5.476;5.652;5.72;5.931;
31.01.2000;5.279;5.506;5.622;5.721;5.894;5.959;6.106;
29.02.2000;5.341;5.547;5.645;5.708;5.797;5.833;5.886;
31.03.2000;5.009;5.158;5.256;5.316;5.36;5.372;5.411;
28.04.2000;5.049;5.213;5.311;5.37;5.432;5.447;5.51;
31.05.2000;5.006;5.179;5.259;5.268;5.271;5.17;5.186;
30.06.2000;5.054;5.214;5.283;5.301;5.309;5.276;5.275;
31.07.2000;5.067;5.211;5.293;5.32;5.327;5.303;5.342;
31.08.2000;4.77;5.001;5.103;5.181;5.298;5.338;5.423;
29.09.2000;4.727;4.892;4.994;5.07;5.202;5.247;5.4;
31.10.2000;4.515;4.736;4.848;4.962;5.118;5.182;5.363;
30.11.2000;4.587;4.723;4.798;4.85;4.944;4.994;5.153;
29.12.2000;4.277;4.331;4.399;4.481;4.642;4.752;4.961;
31.01.2001;4.106;4.189;4.321;4.437;4.651;4.839;5.03;
28.02.2001;4.147;4.244;4.378;4.488;4.721;4.865;5.049;
30.03.2001;3.976;4.045;4.195;4.297;4.587;4.739;4.925;
30.04.2001;4.407;4.475;4.655;4.773;5.014;5.135;5.338;
31.05.2001;4.563;4.619;4.796;4.935;5.25;5.423;5.646;
29.06.2001;4.917;4.966;5.094;5.174;5.363;5.47;5.657;
31.07.2001;4.589;4.635;4.767;4.854;5.104;5.245;5.445;
31.08.2001;4.452;4.493;4.64;4.743;4.97;5.121;5.333;
28.09.2001;4.051;4.179;4.467;4.709;5.048;5.322;5.627;
31.10.2001;3.834;3.985;4.223;4.409;4.709;4.931;5.163;
30.11.2001;4.06;4.226;4.454;4.637;4.853;5.013;5.23;
31.12.2001;4.466;4.767;4.974;5.079;5.258;5.352;5.539;
31.01.2002;4.709;4.938;5.085;5.165;5.266;5.35;5.519;
28.02.2002;4.87;5.068;5.154;5.236;5.33;5.412;5.562;
29.03.2002;5.104;5.352;5.443;5.508;5.575;5.631;5.751;
30.04.2002;5.045;5.235;5.325;5.382;5.502;5.589;5.712;
31.05.2002;5.053;5.239;5.337;5.394;5.51;5.591;5.717;
28.06.2002;4.867;5.013;5.107;5.181;5.307;5.451;5.521;
31.07.2002;4.557;4.695;4.799;4.91;5.064;5.256;5.334;
30.08.2002;4.619;4.622;4.707;4.808;4.955;5.133;5.207;
30.09.2002;4.284;;4.415;4.521;4.687;4.911;4.989;
31.10.2002;4.226;;4.414;4.593;4.799;5.106;5.218;
29.11.2002;4.19;;4.375;4.568;4.775;5.039;5.158;
31.12.2002;3.762;;3.93;4.138;4.369;4.703;4.812;
31.01.2003;3.689;;3.844;4.032;4.235;4.553;4.642;
28.02.2003;3.452;3.605;3.818;3.923;3.998;4.476;4.586;
31.03.2003;3.558;3.738;3.956;4.074;;4.751;4.891;
30.04.2003;3.513;3.711;3.966;4.101;;4.687;;
30.05.2003;3.091;3.213;3.451;3.588;;4.203;;
30.06.2003;2.929;3.143;3.439;3.598;;4.278;;
31.07.2003;3.079;3.37;3.685;3.851;;4.639;;
29.08.2003;3.634;3.528;3.942;4.093;;4.718;;
30.09.2003;3.289;;3.615;3.779;;4.524;;
31.10.2003;3.731;4.121;4.286;4.434;4.717;4.934;;
28.11.2003;3.766;4.143;4.334;4.471;4.756;4.987;;
31.12.2003;3.382;3.789;3.996;4.152;4.483;4.775;;
30.01.2004;3.246;3.677;3.898;4.062;4.413;4.701;;
27.02.2004;2.943;3.366;3.583;3.756;4.125;4.475;;
31.03.2004;2.544;2.985;3.215;3.421;3.86;4.261;4.683;
30.04.2004;2.895;3.418;3.667;3.873;4.28;4.609;4.98;
31.05.2004;2.906;3.455;3.71;3.926;4.323;4.655;5.001;
30.06.2004;2.961;3.53;3.786;3.988;4.367;4.659;4.988;
30.07.2004;2.834;3.401;3.651;3.856;4.246;4.541;4.865;
31.08.2004;2.767;3.28;3.506;3.701;4.085;4.378;4.72;
30.09.2004;2.775;3.273;3.475;3.656;4.022;4.301;4.61;
29.10.2004;2.613;3.075;3.299;3.688;3.897;4.216;4.524;
30.11.2004;2.423;2.867;3.094;3.483;3.705;4.04;4.342;
31.12.2004;2.288;2.734;2.95;3.316;3.532;4.006;4.176;
31.01.2005;2.54;2.742;2.912;3.091;3.514;3.764;3.901;
28.02.2005;2.571;2.802;3.009;3.198;3.618;3.866;3.97;
31.03.2005;2.525;2.763;2.962;3.133;3.505;3.739;3.833;
29.04.2005;2.252;2.457;2.633;2.784;3.15;3.382;3.469;
31.05.2005;2.144;2.326;2.483;2.629;3.004;3.249;3.383;
30.06.2005;1.824;1.981;2.147;2.31;2.732;2.989;3.143;
29.07.2005;1.978;2.149;2.318;2.479;2.844;3.054;3.204;
31.08.2005;2.068;2.228;2.362;2.489;2.817;2.994;3.091;
30.09.2005;2.185;2.367;2.496;2.621;2.907;3.041;3.149;
31.10.2005;2.245;2.473;2.652;2.789;3.11;3.281;3.426;
30.11.2005;2.423;2.652;2.821;2.942;3.227;3.377;3.473;
30.12.2005;2.556;2.806;2.954;3.041;3.232;3.295;3.354;
31.01.2006;2.853;3.024;3.129;3.254;3.345;3.474;3.486;
28.02.2006;2.724;2.903;3.023;3.154;3.26;3.394;3.414;
31.03.2006;2.934;3.148;3.299;3.444;3.544;3.675;3.685;
28.04.2006;3.003;3.233;3.415;3.577;3.716;3.884;3.936;
31.05.2006;3.046;3.283;3.444;3.598;3.715;3.906;3.965;
30.06.2006;3.251;3.483;3.645;3.791;3.896;4.03;4.062;
31.07.2006;3.365;3.506;3.528;3.64;3.734;3.837;3.88;
31.08.2006;3.401;3.492;3.81;3.579;3.636;3.705;3.732;
29.09.2006;3.434;3.505;3.999;3.559;3.601;3.644;3.648;
31.10.2006;3.476;3.547;3.774;3.607;3.633;3.664;3.676;
30.11.2006;3.499;3.55;3.918;3.572;3.59;3.578;3.531;
29.12.2006;3.724;3.784;4.104;3.829;3.807;3.785;3.743;
31.01.2007;3.873;3.941;4.268;4.026;4.024;4.034;4.009;
28.02.2007;3.644;3.724;4.481;3.8;3.803;3.79;3.769;
30.03.2007;3.778;3.867;4.37;3.944;3.939;3.921;3.893;
30.04.2007;3.954;4.057;4.181;4.128;4.127;4.087;4.055;
31.05.2007;4.027;4.178;4.186;4.306;4.297;4.264;4.234;
29.06.2007;4.214;4.395;4.226;4.498;4.491;4.481;4.447;
31.07.2007;4.318;4.427;3.989;4.363;4.343;4.304;4.271;
31.08.2007;4.129;4.011;;4.206;4.21;4.213;4.219;
28.09.2007;4.091;4.163;;4.245;4.264;4.311;4.333;
31.10.2007;4.197;3.636;;4.256;4.266;4.264;4.286;
30.11.2007;3.981;3.701;;4.071;4.131;4.199;4.246;
31.12.2007;4.125;3.799;;4.207;4.25;4.345;4.393;
31.01.2008;3.56;3.985;;3.718;3.799;3.95;4.036;
29.02.2008;3.735;4.431;;3.759;3.836;4.003;4.114;
31.03.2008;3.858;4.738;;3.823;3.868;3.958;4.054;
30.04.2008;4.011;4.491;;4.013;4.063;4.113;4.132;
30.05.2008;4.437;4.299;;4.403;4.411;4.387;4.392;
30.06.2008;4.67;2.041;;4.708;4.605;4.518;4.506;
31.07.2008;4.535;1.696;;4.391;4.267;4.216;4.2;
29.08.2008;4.32;1.791;;4.184;4.09;4.065;4.054;
30.09.2008;3.745;1.939;;3.761;3.781;3.822;3.833;
31.10.2008;2.743;2.199;;2.988;3.287;3.501;3.55;
28.11.2008;2.201;2.08;;2.438;2.713;2.906;2.991;
31.12.2008;1.5;2;;1.777;2.194;2.413;2.532;
30.01.2009;1.477;2.183;;2.448;2.701;3.096;3.211;
27.02.2009;1.07;2.072;;2.076;2.354;2.802;2.964;
31.03.2009;1.032;1.956;;2.216;2.486;2.991;3.2;
30.04.2009;1.096;1.793;;2.434;2.715;3.244;3.453;3.902
29.05.2009;1.224;1.755;;2.841;3.199;3.753;3.984;4.407
30.06.2009;1.157;;;2.643;2.982;3.465;3.667;4.112
31.07.2009;0.961;;;2.621;2.937;3.336;3.53;4.012
31.08.2009;0.983;;;2.698;2.948;3.313;3.438;3.906
30.09.2009;0.839;;;2.651;2.945;3.326;3.414;3.907
30.10.2009;0.659;;;2.566;2.825;3.25;3.345;3.875
30.11.2009;0.534;;;2.407;2.706;3.191;3.272;3.809
31.12.2009;1.714;;;2.412;2.77;3.292;3.391;3.918
29.01.2010;1.614;;;2.284;2.61;3.181;3.286;3.799
26.02.2010;1.583;;2.205;2.518;2.889;3.174;3.251;3.652
31.03.2010;1.537;;2.158;2.481;2.859;3.173;;3.686
30.04.2010;1.369;;1.957;2.274;2.643;2.968;;3.507
31.05.2010;1.265;;1.768;2.049;2.365;2.636;;3.277
30.06.2010;1.424;;1.857;2.117;2.424;2.666;;3.323
30.07.2010;1.446;;1.932;2.208;2.487;2.753;;3.407
31.08.2010;1.291;;1.616;1.789;2.012;2.233;;2.816
30.09.2010;1.411;;1.833;2.06;2.311;2.517;;3.151
29.10.2010;1.395;;1.992;2.293;2.621;2.858;;3.418
30.11.2010;1.578;;2.119;2.373;2.708;2.943;;3.536
31.12.2010;1.839;;2.448;2.688;3.032;3.274;;3.835
31.01.2011;1.966;;2.719;2.975;3.204;3.358;;3.815
28.02.2011;2.21;;2.794;3.01;3.198;3.335;;3.742
31.03.2011;2.3;;2.799;2.995;3.218;3.348;;3.71
29.04.2011;2.774;;2.913;3.034;3.119;3.18;;3.482
31.05.2011;2.521;;2.621;2.717;2.793;2.907;;3.22
30.06.2011;2.328;;2.488;2.638;2.747;2.9;;3.341
29.07.2011;1.995;;2.102;2.222;2.353;2.506;;2.971
31.08.2011;1.476;;1.642;1.79;1.947;2.113;;2.636
30.09.2011;1.192;;1.313;1.436;1.584;1.739;;2.244
31.10.2011;1.316;;1.426;1.56;1.734;1.942;;2.477
30.11.2011;0.849;;0.981;1.161;1.366;1.796;;2.29
30.12.2011;0.845;;0.916;1.041;1.231;1.622;;2.094
31.01.2012;0.886;;0.993;1.111;1.278;1.708;;2.216
29.02.2012;1.039;;1.163;1.278;1.65;1.91;;2.424
30.03.2012;1.278;;1.469;1.596;1.769;1.977;;2.387
30.04.2012;1.153;;1.32;1.425;1.592;1.806;;2.195
31.05.2012;0.776;;0.905;0.97;1.093;1.285;;1.698
29.06.2012;0.995;;1.114;1.219;1.351;1.599;;2.174
31.07.2012;0.969;;1.017;1.068;1.18;1.39;;1.965
31.08.2012;0.858;;0.938;1.017;1.155;1.412;;2.002
28.09.2012;0.675;;0.869;0.972;1.154;1.475;;2.078
31.10.2012;0.769;;0.909;1.014;1.317;1.53;;2.293
30.11.2012;0.726;;0.855;0.963;;1.487;;
31.12.2012;0.74;;0.887;0.97;;1.539;;
31.01.2013;1.025;;0.99;1.378;;1.984;;
28.02.2013;1.032;;;1.314;;1.883;;
29.03.2013;1.011;;1.181;1.391;1.578;1.812;;
30.04.2013;0.835;;1.009;1.215;1.374;1.616;;
31.05.2013;0.938;1.047;1.178;1.434;1.672;1.929;;
28.06.2013;1.134;1.274;1.438;1.725;1.947;2.21;;
31.07.2013;1.042;1.172;1.353;1.655;1.882;2.186;;
30.08.2013;1.243;1.445;1.655;1.93;2.162;2.447;;
30.09.2013;1.117;1.316;1.529;1.83;2.1;2.431;;
31.10.2013;1.016;1.223;1.416;1.67;1.923;2.269;;
29.11.2013;0.861;1.053;1.276;1.571;1.86;2.236;;
31.12.2013;1.087;1.015;1.391;1.782;2.104;2.504;;
31.01.2014;0.95;;1.195;1.515;1.827;2.208;;
28.02.2014;0.906;;1.184;1.509;1.824;2.225;;
31.03.2014;0.777;;1.058;1.405;1.72;2.118;;
30.04.2014;0.639;;0.876;1.231;1.546;1.964;;
30.05.2014;0.533;;0.733;1.057;1.383;1.804;;
30.06.2014;0.446;;0.63;0.947;1.269;1.848;;
31.07.2014;0.283;;0.486;0.779;1.096;1.692;;
29.08.2014;0.181;;0.329;0.584;0.876;1.397;;
30.09.2014;0.153;0.302;0.277;0.563;0.904;1.488;;
31.10.2014;-0.042;0.077;;0.276;0.598;1.19;;
28.11.2014;-0.014;0.02;;0.175;0.478;1.018;;
31.12.2014;0.024;-0.002;;0.132;0.405;0.926;;
